true_folder\recovered_pred_folder,10axe,22frog,23birdchirping,25lion,18speaking,19footsteps,24wingflapping,05wind,04waterdrops,17whistling,06silence,15gunshot,13handsaw,08helicopter,12generator,16woodchop,14firework,11chainsaw,03thunderstorm,02rain,01fire,07treefalling,26wolfhowl,21insect,09vehicleengine,27squirrel,20clapping
10axe,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
22frog,0,74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23birdchirping,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25lion,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18speaking,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19footsteps,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24wingflapping,0,0,0,0,0,0,73,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
05wind,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04waterdrops,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17whistling,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06silence,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15gunshot,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
13handsaw,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08helicopter,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,7,0,0
12generator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,1,0,0,0,0,1,0,4,0,0
16woodchop,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0
14firework,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0
11chainsaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
03thunderstorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
02rain,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71,0,0,0,0,0,0,0
01fire,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0
07treefalling,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0
26wolfhowl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0
21insect,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,70,0,2,0
09vehicleengine,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,0,0
27squirrel,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
20clapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
